City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lagoa,39.05,-27.9833,66.87,85,13,21.94,PT,1730327880
1,rehoboth,-23.3167,17.0833,63.79,24,0,2.37,NA,1730327881
2,port mathurin,-19.6833,63.4167,73.56,67,82,16.55,MU,1730327821
3,lihue,21.9789,-159.3672,81.99,71,75,20.71,US,1730327883
4,avarua,-21.2078,-159.775,78.85,69,93,16.11,CK,1730327884
5,zakharivka,47.3333,29.75,53.42,86,86,8.97,UA,1730327886
6,olyokminsk,60.3736,120.4264,10.99,96,100,1.74,RU,1730327887
7,miyako,39.6367,141.9525,55.87,71,2,3.29,JP,1730327888
8,choele choel,-39.2667,-65.6833,81.41,39,75,17.83,AR,1730327889
9,basoko,1.2391,23.616,73.15,96,100,0.94,CD,1730327890
10,port-aux-francais,-49.35,70.2167,39.49,87,80,27.83,TF,1730327806
11,puerto natales,-51.7236,-72.4875,57.65,67,75,8.05,CL,1730327835
12,jeddah,21.5169,39.2192,85.86,54,40,4.61,SA,1730327893
13,edinburgh of the seven seas,-37.0676,-12.3116,56.12,79,5,13.91,SH,1730327781
14,tiksi,71.6872,128.8694,-11.47,100,83,2.71,RU,1730327852
15,magadan,59.5667,150.8,17.8,65,100,10.98,RU,1730327896
16,prince rupert,54.3161,-130.3201,48.29,81,100,18.41,CA,1730327761
17,coxen hole,16.3244,-86.5366,83.48,74,20,5.75,HN,1730327898
18,bandon,51.7469,-8.7425,53.19,82,100,3.56,IE,1730327899
19,adamstown,-25.066,-130.1015,69.55,77,92,24.43,PN,1730327808
20,udachny,66.4167,112.4,-3.05,99,97,3.76,RU,1730327902
21,geraldton,-28.7667,114.6,57.61,88,0,4.61,AU,1730327903
22,grytviken,-54.2811,-36.5092,32.43,85,63,6.55,GS,1730327792
23,blackmans bay,-43.0167,147.3167,52.52,91,100,1.01,AU,1730327844
24,vilyuchinsk,52.9306,158.4028,34.07,59,9,25.55,RU,1730327907
25,olonkinbyen,70.9221,-8.7187,22.69,49,100,19.08,SJ,1730327778
26,rovaniemi,66.5,25.7167,24.21,86,0,8.05,FI,1730327909
27,ta`u,-14.2336,-169.5144,80.91,79,100,13.47,AS,1730327910
28,waitangi,-43.9535,-176.5597,54.82,82,23,8.01,NZ,1730327843
29,utrik,11.2278,169.8474,82.94,78,77,14.16,MH,1730327784
30,iqaluit,63.7506,-68.5145,31.73,86,100,23.02,CA,1730327802
31,codrington,-38.2667,141.9667,55.85,90,73,15.19,AU,1730327915
32,bethel,41.3712,-73.414,67.59,72,100,1.01,US,1730327846
33,queenstown,-31.8976,26.8753,46.17,89,0,2.84,ZA,1730327917
34,yellowknife,62.456,-114.3525,18.12,73,75,4.61,CA,1730327918
35,aykhal,66.0,111.5,-3.62,100,99,3.69,RU,1730327919
36,fort bragg,35.139,-79.006,78.64,62,0,4.61,US,1730327920
37,crane,31.3974,-102.3501,84.38,18,2,16.13,US,1730327921
38,murashi,59.3999,48.9615,33.94,74,100,15.19,RU,1730327922
39,talnakh,69.4865,88.3972,7.59,92,100,7.02,RU,1730327923
40,langtoucun,40.0261,124.3286,52.54,72,100,0.58,CN,1730327924
41,kodiak,57.79,-152.4072,42.31,45,0,0.0,US,1730327925
42,aasiaat,68.7098,-52.8699,8.73,77,100,13.67,GL,1730327926
43,salinopolis,-0.6136,-47.3561,79.61,79,83,10.56,BR,1730327928
44,papatowai,-46.5619,169.4708,55.04,76,99,9.26,NZ,1730327789
45,dihok,36.8695,42.994,57.78,30,80,5.35,IQ,1730327930
46,mount isa,-20.7333,139.5,85.77,45,44,9.22,AU,1730327840
47,prairie du chien,43.0517,-91.1412,64.42,94,100,0.0,US,1730327932
48,urangan,-25.3,152.9,73.71,71,93,13.0,AU,1730327933
49,hawaiian paradise park,19.5933,-154.9731,79.88,88,100,5.75,US,1730327934
50,kenai,60.5544,-151.2583,36.14,76,0,3.44,US,1730327935
51,birzebbuga,35.8258,14.5269,63.28,94,0,2.3,MT,1730327937
52,ushuaia,-54.8,-68.3,47.86,49,20,31.07,AR,1730327797
53,la ronge,55.1001,-105.2842,30.45,74,75,6.91,CA,1730327939
54,punta arenas,-53.15,-70.9167,53.71,54,75,18.41,CL,1730327864
55,cabo san lucas,22.8909,-109.9124,86.76,71,20,4.61,MX,1730327941
56,giyani,-23.3025,30.7187,66.79,74,45,13.29,ZA,1730327942
57,fortaleza,-3.7227,-38.5247,80.22,78,20,9.22,BR,1730327853
58,hailun,47.45,126.9333,37.65,85,61,9.37,CN,1730327944
59,usogorsk,63.4106,48.6872,32.36,94,100,13.42,RU,1730327945
60,nadym,65.5333,72.5167,22.96,92,100,9.75,RU,1730327946
61,altos del rosario,8.7944,-74.1658,77.97,97,100,2.71,CO,1730327947
62,singkil,-7.9855,111.4161,78.19,83,46,4.05,ID,1730327948
63,khovd,48.0056,91.6419,25.61,45,11,3.74,MN,1730327949
64,whitehorse,60.7161,-135.0538,28.02,85,100,4.61,CA,1730327857
65,ballina,-28.8667,153.5667,75.09,69,1,8.08,AU,1730327952
66,abrisham,32.558,51.5731,55.51,35,98,2.73,IR,1730327953
67,enewetak,11.3474,162.3373,83.34,77,64,15.39,MH,1730327954
68,thinadhoo,0.5333,72.9333,81.3,69,99,5.5,MV,1730327955
69,mboursou lere,9.7639,14.1539,76.75,30,2,5.39,TD,1730327956
70,keelung,25.1283,121.7419,78.94,94,100,27.45,TW,1730327957
71,sovetskiy,61.3614,63.5842,27.39,93,58,6.13,RU,1730327958
72,courtenay,49.6866,-124.9936,48.4,87,100,17.27,CA,1730327850
73,badger,64.8,-147.5333,14.99,82,20,0.0,US,1730327804
74,margate,51.3813,1.3862,55.69,88,85,5.91,GB,1730327962
75,hasaki,35.7333,140.8333,64.67,57,33,11.97,JP,1730327818
76,tyukhtet,56.5389,89.3011,29.93,95,100,7.87,RU,1730327964
77,albany,42.6001,-73.9662,66.79,73,100,5.28,US,1730327949
78,banamba,13.55,-7.45,80.44,31,100,5.99,ML,1730327966
79,amursk,50.2261,136.8994,32.38,81,3,1.03,RU,1730327967
80,corinto,37.9407,22.9573,64.89,74,0,1.7,GR,1730327968
81,nuuk,64.1835,-51.7216,21.81,53,0,3.44,GL,1730327969
82,ribeira grande,38.5167,-28.7,69.78,89,6,14.0,PT,1730327801
83,porto seguro,-16.4497,-39.0647,77.52,88,75,3.44,BR,1730327971
